rörelse;😅
här;👾
försöka;😚
skapa;🗣
nästan;🔍
ohjälplig;none
säga;⛸
nu;🛌
vi;❕
övergivit;none
såvitt;none
kan;💪
förstå;🤔
skillnaden;➖
snarare;💄
använda;➡️
andra;🦅
naturligtvis;❗
förhållandena;none
möjliggjort;none
förståelse;🤔
mellan;🆚
klasserna;none
ökat;📈
bakom;🕰
folkhemstanken;👪🏡💭 
ligger;🛏️
ju;🎻
intet;🚫
uppgivande;none
klasskampsideologins;none
motsättningarna;none
skola;⏱
undanröjas;none
går;🌥
bygga;😖
folkhem;none
basis;none
bibehållna;✅
orättvisor;🚫⚖️
utan;🚫
så;🌿
mycket;📙
starkare;💪💪
betonar;🗯️
måste;📑
vara;❕
rätt;⚖️
då;⏩
tror;💭
komma;🚶‍♀️
verkligt;📎
överbryggande;🌉
finna;🔍
uttryck;💬
andras;👉
tillämpat;👊 
folk;👫
skulle;🍼
detta;🔽
betyda;▶️
nedbrytandet;⛏️
sociala;👥
ekonomiska;💲
skrankor;💸
skilja;➖
härskande;👑
beroende;😏
plundrare;🎩
plundrade;😞
